YEAR AS CUSTOMER,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_date,incident_type,collision_type,incident_state,incident_city,incident_location,incident_hour_of_the_day,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
27.33,48,521585,10/17/2014,OH,250/500,1000,1406.91,0,MALE,MD,craft-repair,sleeping,1/25/2015,Single Vehicle Collision,Side Collision,SC,Columbus,9935 4th Drive,5,71610,6510,13020,52080,Saab,92x,2004
19.00,42,342868,6/27/2006,IN,250/500,2000,1197.22,5000000,MALE,MD,machine-op-inspct,reading,1/21/2015,Vehicle Theft,?,VA,Riverwood,6608 MLK Hwy,8,5070,780,780,3510,Mercedes,E400,2007
11.17,29,687698,9/6/2000,OH,100/300,2000,1413.14,5000000,FEMALE,PhD,sales,board-games,2/22/2015,Multi-vehicle Collision,Rear Collision,NY,Columbus,7121 Francis Lane,7,34650,7700,3850,23100,Dodge,RAM,2007
21.33,41,227811,5/25/1990,IL,250/500,2000,1415.74,6000000,FEMALE,PhD,armed-forces,board-games,1/10/2015,Single Vehicle Collision,Front Collision,OH,Arlington,6956 Maple Drive,5,63400,6340,6340,50720,Chevrolet,Tahoe,2014
19.00,44,367455,6/6/2014,IL,500/1000,1000,1583.91,6000000,MALE,Associate,sales,board-games,2/17/2015,Vehicle Theft,?,NY,Arlington,3041 3rd Ave,20,6500,1300,650,4550,Accura,RSX,2009
21.33,39,104594,10/12/2006,OH,250/500,1000,1351.1,0,FEMALE,PhD,tech-support,bungie-jumping,1/2/2015,Multi-vehicle Collision,Rear Collision,SC,Arlington,8973 Washington St,19,64100,6410,6410,51280,Saab,95,2003
11.42,34,413978,6/4/2000,IN,250/500,1000,1333.35,0,MALE,PhD,prof-specialty,board-games,1/13/2015,Multi-vehicle Collision,Front Collision,NY,Springfield,5846 Weaver Drive,0,78650,21450,7150,50050,Nissan,Pathfinder,2012
13.75,37,429027,2/3/1990,IL,100/300,1000,1137.03,0,MALE,Associate,tech-support,base-jumping,2/27/2015,Multi-vehicle Collision,Front Collision,VA,Columbus,3525 3rd Hwy,23,51590,9380,9380,32830,Audi,A5,2015
2.25,33,485665,2/5/1997,IL,100/300,500,1442.99,0,FEMALE,PhD,other-service,golf,1/30/2015,Single Vehicle Collision,Front Collision,WV,Arlington,4872 Rock Ridge,21,27700,2770,2770,22160,Toyota,Camry,2012
17.67,42,636550,7/25/2011,IL,100/300,500,1315.68,0,MALE,PhD,priv-house-serv,camping,1/5/2015,Single Vehicle Collision,Rear Collision,NC,Hillsdale,3066 Francis Ave,14,42300,4700,4700,32900,Saab,92x,1996
19.58,42,543610,5/26/2002,OH,100/300,500,1253.12,4000000,FEMALE,Masters,exec-managerial,dancing,1/6/2015,Single Vehicle Collision,Front Collision,NY,Northbend,1558 1st Ridge,22,87010,7910,15820,63280,Ford,F150,2002
37.25,61,214618,5/29/1999,OH,100/300,2000,1137.16,0,FEMALE,High School,exec-managerial,skydiving,2/15/2015,Multi-vehicle Collision,Front Collision,SC,Springfield,5971 5th Hwy,21,114920,17680,17680,79560,Audi,A3,2006
5.00,23,842643,11/20/1997,OH,500/1000,500,1215.36,3000000,MALE,MD,protective-serv,reading,1/22/2015,Single Vehicle Collision,Rear Collision,SC,Northbend,6655 5th Drive,9,56520,4710,9420,42390,Saab,95,2000
10.08,34,626808,10/26/2012,OH,100/300,1000,936.61,0,FEMALE,MD,armed-forces,bungie-jumping,1/8/2015,Parked Car,?,SC,Springfield,6582 Elm Lane,5,7280,1120,1120,5040,Toyota,Highlander,2010
15.00,38,644081,12/28/1998,OH,250/500,2000,1301.13,0,FEMALE,College,machine-op-inspct,board-games,1/15/2015,Single Vehicle Collision,Rear Collision,SC,Springfield,6851 3rd Drive,12,46200,4200,8400,33600,Dodge,Neon,2003
39.42,58,892874,10/19/1992,IN,100/300,2000,1131.4,0,FEMALE,MD,transport-moving,movies,1/29/2015,Multi-vehicle Collision,Side Collision,WV,Hillsdale,9573 Weaver Ave,12,63120,10520,10520,42080,Accura,MDX,1999
5.83,26,558938,6/8/2005,OH,500/1000,1000,1199.44,5000000,MALE,College,machine-op-inspct,hiking,2/22/2015,Multi-vehicle Collision,Rear Collision,NY,Riverwood,5074 3rd St,0,52110,5790,5790,40530,Nissan,Maxima,2012
11.67,31,275265,11/15/2004,IN,500/1000,500,708.64,6000000,MALE,High School,machine-op-inspct,reading,1/6/2015,Single Vehicle Collision,Side Collision,WV,Northbend,4546 Tree St,9,77880,14160,7080,56640,Suburu,Legacy,2015
13.33,37,921202,12/28/2014,OH,500/1000,500,1374.22,0,FEMALE,MD,craft-repair,yachting,1/19/2015,Single Vehicle Collision,Side Collision,NY,Northbrook,3842 Solo Ridge,19,72930,6630,13260,53040,Accura,TL,2015
16.33,39,143972,8/2/1992,IN,500/1000,2000,1475.73,0,FEMALE,High School,handlers-cleaners,camping,2/22/2015,Multi-vehicle Collision,Side Collision,VA,Columbus,8101 3rd Ridge,8,60400,6040,6040,48320,Nissan,Pathfinder,2014
38.33,62,183430,6/25/2002,IN,250/500,1000,1187.96,4000000,MALE,JD,other-service,bungie-jumping,1/1/2015,Multi-vehicle Collision,Rear Collision,NY,Columbus,5380 Pine St,20,47160,0,5240,41920,Suburu,Impreza,2011
18.08,41,431876,11/27/2005,IL,500/1000,2000,875.15,0,FEMALE,Associate,machine-op-inspct,skydiving,2/10/2015,Multi-vehicle Collision,Side Collision,SC,Arlington,8957 Weaver Drive,15,37840,0,4730,33110,Accura,RSX,1996
30.83,55,285496,5/27/1994,IL,100/300,2000,972.18,0,MALE,High School,prof-specialty,paintball,1/11/2015,Multi-vehicle Collision,Rear Collision,SC,Hillsdale,2526 Embaracadero Ave,20,71520,17880,5960,47680,Suburu,Forrestor,2000
34.42,55,115399,2/8/1991,IN,100/300,2000,1268.79,0,MALE,MD,priv-house-serv,chess,1/19/2015,Single Vehicle Collision,Front Collision,WV,Northbend,5667 4th Drive,15,98160,8180,16360,73620,Dodge,RAM,2011
19.75,40,736882,2/2/1996,IN,100/300,1000,883.31,0,MALE,College,craft-repair,kayaking,2/24/2015,Single Vehicle Collision,Rear Collision,VA,Riverwood,2502 Apache Hwy,6,77880,7080,14160,56640,Ford,Escape,2005
0.67,35,699044,12/5/2013,OH,100/300,2000,1266.92,0,MALE,Masters,sales,polo,1/9/2015,Multi-vehicle Collision,Rear Collision,OH,Arlington,3418 Texas Lane,16,71500,16500,11000,44000,Ford,Escape,2006
21.42,43,863236,9/20/1990,IN,100/300,2000,1322.1,0,MALE,High School,prof-specialty,golf,1/28/2015,Parked Car,?,PA,Arlington,2533 Elm St,4,9020,1640,820,6560,Toyota,Camry,2005
16.83,34,608513,7/18/2002,IN,100/300,500,848.07,3000000,MALE,JD,exec-managerial,chess,1/7/2015,Vehicle Theft,?,VA,Northbrook,3790 Andromedia Hwy,5,5720,1040,520,4160,Suburu,Forrestor,2003
18.67,40,914088,2/8/1990,OH,100/300,2000,1291.7,0,FEMALE,JD,sales,kayaking,1/8/2015,Single Vehicle Collision,Side Collision,SC,Northbend,3220 Rock Drive,21,69840,7760,15520,46560,Dodge,Neon,2009
20.08,45,596785,3/4/2014,IL,500/1000,2000,1104.5,0,FEMALE,PhD,machine-op-inspct,basketball,2/15/2015,Single Vehicle Collision,Rear Collision,SC,Northbrook,2100 Francis Drive,5,91650,14100,14100,63450,Accura,TL,2011
5.33,25,908616,2/18/2000,IL,250/500,1000,954.16,0,MALE,Masters,prof-specialty,video-games,1/18/2015,Multi-vehicle Collision,Side Collision,SC,Columbus,4687 5th Drive,22,75600,12600,12600,50400,Toyota,Corolla,2005
13.83,37,666333,6/19/2008,IL,100/300,2000,1337.28,8000000,MALE,JD,craft-repair,reading,2/28/2015,Multi-vehicle Collision,Side Collision,WV,Riverwood,9038 2nd Lane,10,67140,7460,7460,52220,Ford,F150,2006
12.92,35,336614,8/1/2003,IL,500/1000,1000,1088.34,0,FEMALE,Associate,adm-clerical,yachting,2/24/2015,Multi-vehicle Collision,Front Collision,NY,Arlington,6092 5th Ave,16,29790,3310,3310,23170,BMW,3 Series,2008
